Component,Origin,License,Copyright
native,https://github.com/DataDog/libddwaf,Apache-2.0 OR BSD-3-Clause,Copyright (c) 2021 Datadog <info@datadoghq.com>
require,node-gyp-build,MIT,Copyright 2017 Mathias Buus
dev,mocha,MIT,Copyright 2011-2018 JS Foundation and contributors https://js.foundation
dev,node-addon-api,MIT,Copyright 2017 Node.js API collaborators
dev,eslint,MIT,Copyright JS Foundation and other contributors https://js.foundation
dev,eslint-config-standard,MIT,Copyright Feross Aboukhadijeh
dev,eslint-plugin-import,MIT,Copyright 2015 Ben Mosher
dev,eslint-plugin-node,MIT,Copyright 2015 Toru Nagashima
dev,eslint-plugin-promise,ISC,jden and other contributors
dev,eslint-plugin-standard,MIT,Copyright 2015 Jamund Ferguson
dev,tar,ISC,Copyright (c) Isaac Z. Schlueter and Contributors
