Orderbook Snapshot
=================

Asks
----
Price (Subticks) | Size (SOL) | Aggregate Size (SOL)
--------------------------------------------------
128.3           | 1400812.1000000 | 82106189.2000000
128.29          | 1365845.6000000 | 80705377.1000000
128.28          | 1530930.9000000 | 79339531.5000000
128.27          | 1651588.6000000 | 77808600.6000000
128.26          | 1590511.8000000 | 76157012.0000000
128.25          | 1347859.6000000 | 74566500.2000000
128.24          | 1485218.3000000 | 73218640.6000000
128.23          | 1315326.4000000 | 71733422.3000000
128.22          | 1352601.3000000 | 70418095.9000000
128.21          | 1511459.0000000 | 69065494.6000000
128.2           | 1396133.0000000 | 67554035.6000000
128.19          | 1221240.6000000 | 66157902.6000000
128.18          | 1103817.7000000 | 64936662.0000000
128.17          | 1297368.1000000 | 63832844.3000000
128.16          | 1466538.9000000 | 62535476.2000000
128.15          | 1370461.3000000 | 61068937.3000000
128.14          | 1331848.7000000 | 59698476.0000000
128.13          | 992223.5000000 | 58366627.3000000
128.12          | 1223167.0000000 | 57374403.8000000
128.11          | 1444477.2000000 | 56151236.8000000
128.1           | 1231462.7000000 | 54706759.6000000
128.09          | 1110156.2000000 | 53475296.9000000
128.08          | 1107679.9000000 | 52365140.7000000
128.07          | 1174908.3000000 | 51257460.8000000
128.06          | 1220952.7000000 | 50082552.5000000
128.05          | 1212925.6000000 | 48861599.8000000
128.04          | 1302276.2000000 | 47648674.2000000
128.03          | 934880.0000000 | 46346398.0000000
128.02          | 1130222.2000000 | 45411518.0000000
128.01          | 1029657.0000000 | 44281295.8000000
128             | 1046950.3000000 | 43251638.8000000
127.99          | 1054010.7000000 | 42204688.5000000
127.98          | 1098476.1000000 | 41150677.8000000
127.97          | 1369098.1000000 | 40052201.7000000
127.96          | 1252596.4000000 | 38683103.6000000
127.95          | 1220868.2000000 | 37430507.2000000
127.94          | 1116849.9000000 | 36209639.0000000
127.93          | 1193978.0000000 | 35092789.1000000
127.92          | 1321791.0000000 | 33898811.1000000
127.91          | 1337559.9000000 | 32577020.1000000
127.9           | 1331843.6000000 | 31239460.2000000
127.89          | 1563156.0000000 | 29907616.6000000
127.88          | 1398732.1000000 | 28344460.6000000
127.87          | 1425566.3000000 | 26945728.5000000
127.86          | 1183071.0000000 | 25520162.2000000
127.85          | 1527838.6000000 | 24337091.2000000
127.84          | 1237292.5000000 | 22809252.6000000
127.83          | 1451730.9000000 | 21571960.1000000
127.82          | 1294641.1000000 | 20120229.2000000
127.81          | 1145403.6000000 | 18825588.1000000
127.8           | 1214346.3000000 | 17680184.5000000
127.79          | 1387891.4000000 | 16465838.2000000
127.78          | 1522115.3000000 | 15077946.8000000
127.77          | 1428247.0000000 | 13555831.5000000
127.76          | 1461547.0000000 | 12127584.5000000
127.75          | 1865139.4000000 | 10666037.5000000
127.74          | 1608346.0000000 | 8800898.1000000
127.73          | 1814139.7000000 | 7192552.1000000
127.72          | 1215426.8000000 | 5378412.4000000
127.71          | 1323181.0000000 | 4162985.6000000
127.7           | 1579815.1000000 | 2839804.6000000
127.69          | 1233493.0000000 | 1259989.5000000
127.67          | 5874.6000000 | 26496.5000000
127.64          | 6.7000000 | 20621.9000000
127.63          | 5.0000000 | 20615.2000000
127.62          | 8.0000000 | 20610.2000000
127.6           | 3.7000000 | 20602.2000000
127.59          | 1.7000000 | 20598.5000000
127.58          | 1762.0000000 | 20596.8000000
127.57          | 16.0000000 | 18834.8000000
127.55          | 6.3000000 | 18818.8000000
127.51          | 23.6000000 | 18812.5000000
127.5           | 1.2000000 | 18788.9000000
127.49          | 16.3000000 | 18787.7000000
127.47          | 0.7000000 | 18771.4000000
127.44          | 2.0000000 | 18770.7000000
127.43          | 0.1000000 | 18768.7000000
127.39          | 3206.4000000 | 18768.6000000
127.37          | 675.4000000 | 15562.2000000
127.34          | 1963.3000000 | 14886.8000000
127.33          | 4.0000000 | 12923.5000000
127.27          | 5168.3000000 | 12919.5000000
127.26          | 2351.9000000 | 7751.2000000
127.25          | 195.5000000 | 5399.3000000
127.24          | 5.2000000 | 5203.8000000
127.23          | 428.2000000 | 5198.6000000
127.22          | 178.0000000 | 4770.4000000
127.21          | 2764.1000000 | 4592.4000000
127.2           | 825.4000000 | 1828.3000000
127.19          | 4.0000000 | 1002.9000000
127.18          | 393.1000000 | 998.9000000
127.17          | 15.8000000 | 605.8000000
127.16          | 1.2000000 | 590.0000000
127.14          | 290.5000000 | 588.8000000
127.13          | 0.1000000 | 298.3000000
127.12          | 3.9000000 | 298.2000000
127.11          | 78.6000000 | 294.3000000
127.1           | 154.3000000 | 215.7000000
127.09          | 57.4000000 | 61.4000000
127.05          | 4.0000000 | 4.0000000

Bids
----
Price (Subticks) | Size (SOL) | Aggregate Size (SOL)
--------------------------------------------------
127.04          | 80.3000000 | 80.3000000
127.03          | 24.3000000 | 104.6000000
127.01          | 22.8000000 | 127.4000000
126.97          | 23.6000000 | 151.0000000
126.96          | 78.7000000 | 229.7000000
126.95          | 23.7000000 | 253.4000000
126.94          | 225.1000000 | 478.5000000
126.93          | 155.2000000 | 633.7000000
126.92          | 393.9000000 | 1027.6000000
126.9           | 895.2000000 | 1922.8000000
126.89          | 3204.0000000 | 5126.8000000
126.87          | 66.9000000 | 5193.7000000
126.86          | 606.8000000 | 5800.5000000
126.85          | 10.8000000 | 5811.3000000
126.84          | 187.3000000 | 5998.6000000
126.83          | 591.3000000 | 6589.9000000
126.8           | 788.6000000 | 7378.5000000
126.78          | 448.2000000 | 7826.7000000
126.77          | 1602.5000000 | 9429.2000000
126.75          | 0.7000000 | 9429.9000000
126.72          | 17.8000000 | 9447.7000000
126.71          | 1972.9000000 | 11420.6000000
126.69          | 1973.1000000 | 13393.7000000
126.68          | 1.1000000 | 13394.8000000
126.67          | 1.3000000 | 13396.1000000
126.63          | 11.8000000 | 13407.9000000
126.62          | 12.8000000 | 13420.7000000
126.61          | 15.8000000 | 13436.5000000
126.6           | 1.7000000 | 13438.2000000
126.59          | 2.4000000 | 13440.6000000
126.57          | 0.8000000 | 13441.4000000
126.56          | 1.5000000 | 13442.9000000
126.55          | 0.3000000 | 13443.2000000
126.53          | 2.3000000 | 13445.5000000
126.52          | 0.1000000 | 13445.6000000
126.51          | 2048.4000000 | 15494.0000000
126.5           | 950.8000000 | 16444.8000000
126.47          | 1898.8000000 | 18343.6000000
126.45          | 948.9000000 | 19292.5000000
126.44          | 2847.0000000 | 22139.5000000
126.43          | 2847.1000000 | 24986.6000000
126.42          | 949.6000000 | 25936.2000000
126.41          | 11865.5000000 | 37801.7000000
126.4           | 2709.3000000 | 40511.0000000
126.39          | 1899.4000000 | 42410.4000000
126.38          | 949.5000000 | 43359.9000000
126.37          | 4747.5000000 | 48107.4000000
126.36          | 4750.1000000 | 52857.5000000
126.35          | 3798.7000000 | 56656.2000000
126.34          | 949.7000000 | 57605.9000000
126.33          | 9498.0000000 | 67103.9000000
126.32          | 9504.8000000 | 76608.7000000
126.31          | 4751.2000000 | 81359.9000000
126.3           | 1900.0000000 | 83259.9000000
126.29          | 3800.4000000 | 87060.3000000
